Date,Open,High,Low,Close,Adj Close,Volume
2020-04-02,42510.000000,42670.000000,41110.000000,41330.000000,39883.722656,1675600
2020-04-03,41810.000000,42560.000000,41510.000000,41880.000000,40414.476563,1244500
2020-04-06,42350.000000,43200.000000,42190.000000,42920.000000,41418.085938,1537100
2020-04-07,43250.000000,43500.000000,42370.000000,43190.000000,41678.632813,1728500
2020-04-08,43000.000000,43640.000000,42700.000000,43590.000000,42064.636719,1690300
2020-04-09,43450.000000,43730.000000,43050.000000,43730.000000,42199.738281,1237600
2020-04-10,43370.000000,44500.000000,43280.000000,44370.000000,42817.343750,1291200
2020-04-13,44500.000000,44750.000000,44100.000000,44310.000000,42759.441406,819000
2020-04-14,44590.000000,45500.000000,44360.000000,45480.000000,43888.503906,1417700
2020-04-15,45990.000000,46930.000000,45900.000000,46730.000000,45094.757813,1754400
2020-04-16,46450.000000,47170.000000,46370.000000,47000.000000,45355.312500,1385600
2020-04-17,47000.000000,47100.000000,46070.000000,46830.000000,45191.257813,1711600
2020-04-20,46660.000000,46810.000000,45800.000000,45930.000000,44322.753906,1163800
2020-04-21,45310.000000,46380.000000,45260.000000,46030.000000,44419.253906,1229700
2020-04-22,47000.000000,47090.000000,46210.000000,46980.000000,45336.011719,1597000
2020-04-23,47200.000000,47270.000000,46440.000000,46660.000000,45027.207031,1024400
2020-04-24,46410.000000,46990.000000,46390.000000,46900.000000,45258.808594,832700
2020-04-27,46790.000000,47150.000000,46710.000000,46840.000000,45200.910156,802000
2020-04-28,46250.000000,46580.000000,45940.000000,46220.000000,44602.605469,924500
2020-04-30,45730.000000,45790.000000,44520.000000,44650.000000,43087.546875,1775900
2020-05-01,44800.000000,45250.000000,44530.000000,44650.000000,43087.546875,1033100
2020-05-07,45110.000000,46100.000000,45000.000000,46100.000000,44486.804688,1507900
2020-05-08,45340.000000,45500.000000,43510.000000,44300.000000,42749.792969,2483700
2020-05-11,44370.000000,44380.000000,43100.000000,43640.000000,42112.890625,1431800
2020-05-12,44050.000000,45090.000000,44050.000000,44850.000000,43280.546875,1304100
2020-05-13,44680.000000,45000.000000,44330.000000,45000.000000,43425.300781,823100
2020-05-14,44420.000000,45250.000000,44410.000000,44770.000000,43203.347656,819400
2020-05-15,44700.000000,45090.000000,44450.000000,45010.000000,43434.949219,796700
2020-05-18,45180.000000,45340.000000,44420.000000,44550.000000,42991.042969,722500
2020-05-19,44340.000000,44430.000000,43630.000000,43980.000000,42440.992188,1118100
2020-05-20,44200.000000,44630.000000,44150.000000,44210.000000,42662.941406,894100
2020-05-21,44490.000000,45220.000000,44330.000000,45060.000000,43483.199219,986800
2020-05-22,45060.000000,45220.000000,44660.000000,44880.000000,43309.500000,628100
2020-05-25,45150.000000,45250.000000,44420.000000,44600.000000,43039.296875,598300
2020-05-26,44620.000000,44720.000000,44370.000000,44600.000000,43039.296875,649200
2020-05-27,44300.000000,44440.000000,43910.000000,44100.000000,42556.792969,879500
2020-05-28,43890.000000,44170.000000,43510.000000,43860.000000,42325.191406,1009300
2020-05-29,44190.000000,44460.000000,43530.000000,43540.000000,42016.386719,1349600
2020-06-01,44270.000000,44590.000000,44120.000000,44460.000000,42904.195313,1129700
2020-06-02,44140.000000,44340.000000,43930.000000,44070.000000,42527.839844,787400
2020-06-03,43950.000000,44760.000000,43860.000000,44630.000000,43068.242188,1134900
2020-06-04,44990.000000,45240.000000,44650.000000,45240.000000,43656.902344,1117700
2020-06-05,45450.000000,45960.000000,45400.000000,45850.000000,44245.554688,999000
2020-06-08,46140.000000,46150.000000,44840.000000,45070.000000,43492.847656,1041000
2020-06-09,44860.000000,45260.000000,44660.000000,45200.000000,43618.300781,594600
2020-06-10,45250.000000,45580.000000,45130.000000,45340.000000,43753.398438,576300
2020-06-11,45860.000000,47280.000000,45830.000000,47030.000000,45384.261719,2228900
2020-06-12,47020.000000,47960.000000,46400.000000,47640.000000,45972.917969,1743900
2020-06-15,47520.000000,48210.000000,46860.000000,46970.000000,45326.363281,1209400
2020-06-16,47930.000000,48220.000000,47260.000000,47590.000000,45924.664063,973700
2020-06-17,48210.000000,48970.000000,48130.000000,48740.000000,47034.421875,1376800
2020-06-18,49500.000000,50180.000000,49350.000000,50110.000000,48356.480469,1752300
2020-06-19,50170.000000,50520.000000,49770.000000,50520.000000,48752.136719,1319000
2020-06-22,50210.000000,50600.000000,50020.000000,50150.000000,48395.082031,714200
2020-06-23,50130.000000,50130.000000,49160.000000,49200.000000,47478.328125,1165800
2020-06-24,48680.000000,49470.000000,48460.000000,49390.000000,47661.675781,911400
2020-06-25,48630.000000,49050.000000,48150.000000,48270.000000,46580.867188,953300
2020-06-26,48020.000000,48650.000000,47750.000000,48500.000000,46802.820313,702900
2020-06-29,48230.000000,48540.000000,47860.000000,48040.000000,46358.917969,611600
2020-06-30,48160.000000,48290.000000,47890.000000,48010.000000,46329.968750,690000
2020-07-01,48340.000000,48420.000000,47640.000000,47790.000000,46117.664063,590900
2020-07-02,48500.000000,48960.000000,47930.000000,48290.000000,46600.171875,1011400
2020-07-03,48520.000000,50040.000000,48420.000000,50020.000000,48269.628906,1407100
2020-07-06,49950.000000,50500.000000,49580.000000,50430.000000,48665.281250,909100
2020-07-07,50700.000000,51910.000000,50500.000000,51560.000000,49755.742188,1221600
2020-07-08,51350.000000,51350.000000,49630.000000,49630.000000,47893.277344,1413200
2020-07-09,50000.000000,50070.000000,49470.000000,49650.000000,47912.578125,992200
2020-07-10,49570.000000,49650.000000,48680.000000,48680.000000,46976.523438,899400
2020-07-13,48780.000000,48950.000000,48230.000000,48800.000000,47092.324219,780400
2020-07-14,48300.000000,48810.000000,47710.000000,48100.000000,46416.816406,894000
2020-07-15,48400.000000,48800.000000,47980.000000,48710.000000,47005.472656,867700
2020-07-16,48040.000000,48340.000000,47600.000000,47750.000000,46079.066406,986500
2020-07-17,47830.000000,48050.000000,47330.000000,47650.000000,45982.566406,656100
2020-07-20,47410.000000,47580.000000,46710.000000,47020.000000,45374.609375,887500
2020-07-21,47790.000000,48410.000000,47610.000000,47870.000000,46194.867188,1184700
2020-07-22,47500.000000,47900.000000,47240.000000,47680.000000,46011.515625,842800
2020-07-27,47680.000000,48050.000000,47260.000000,47500.000000,45837.812500,782300
2020-07-28,47700.000000,48030.000000,47270.000000,47290.000000,45635.164063,678100
2020-07-29,47250.000000,47400.000000,46870.000000,47270.000000,45615.863281,653800
2020-07-30,47330.000000,47740.000000,47230.000000,47300.000000,45644.812500,592200
2020-07-31,47200.000000,47370.000000,46250.000000,46440.000000,44814.910156,907400
2020-08-03,46000.000000,47190.000000,45860.000000,46970.000000,45326.363281,912100
2020-08-04,47800.000000,48550.000000,47440.000000,47590.000000,45924.664063,1468000
2020-08-05,48690.000000,49290.000000,48310.000000,49100.000000,47381.824219,1365100
2020-08-06,49500.000000,49500.000000,48710.000000,49190.000000,47468.675781,1113100
2020-08-07,51400.000000,51450.000000,50110.000000,50460.000000,48694.234375,2662900
2020-08-11,50690.000000,50970.000000,49680.000000,50040.000000,48288.933594,1361500
2020-08-12,50220.000000,50650.000000,49890.000000,50460.000000,48694.234375,821500
2020-08-13,50860.000000,51290.000000,50180.000000,51200.000000,49408.339844,1068700
2020-08-14,51270.000000,51480.000000,51030.000000,51320.000000,49524.140625,688000
2020-08-17,51350.000000,52190.000000,51320.000000,51550.000000,49746.089844,887600
2020-08-18,51900.000000,53000.000000,51750.000000,52830.000000,50981.296875,1386600
2020-08-19,53460.000000,53790.000000,53130.000000,53380.000000,51512.054688,1000300
